Elo Rank,Player,Age,Elo,Unnamed: 4,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Unnamed: 11,Peak Elo,Peak Month,Unnamed: 14,WTA Rank,Log diff,NormName
1,Aryna Sabalenka,27.0,2202.2,,1,2143.8,1,2120.4,1,1958.4,,2214.1,2025-05,,1,0.0,Sabalenka A.
2,Coco Gauff,21.2,2153.9,,4,2070.4,2,2084.5,2,1915.1,,2155.7,2024-01,,2,0.0,Gauff C.
3,Iga Swiatek,23.9,2133.0,,2,2088.3,3,2065.8,3,1860.0,,2291.0,2024-07,,8,-0.98,Swiatek I.
4,Mirra Andreeva,18.0,2091.4,,3,2073.7,5,1972.9,11,1792.6,,2159.2,2025-03,,7,-0.56,Andreeva M.
5,Qinwen Zheng,22.6,2053.8,,5,1993.9,4,1995.1,21,1743.4,,2098.3,2024-11,,4,0.22,Zheng Q.
6,Jasmine Paolini,29.3,2023.4,,9,1937.4,6,1948.8,4,1832.2,,2034.9,2025-05,,5,0.18,Paolini J.
7,Madison Keys,30.3,2022.4,,7,1961.6,9,1924.2,6,1832.0,,2090.1,2016-08,,6,0.15,Keys M.
8,Elina Svitolina,30.7,2006.3,,10,1925.5,7,1934.1,10,1806.6,,2120.6,2018-05,,14,-0.56,Svitolina E.
9,Jessica Pegula,31.2,2005.0,,6,1975.5,10,1864.8,8,1809.1,,2094.9,2024-01,,3,1.1,Pegula J.
10,Elena Rybakina,25.9,1998.5,,8,1952.8,8,1924.2,5,1832.1,,2155.6,2024-04,,11,-0.1,Rybakina E.
11,Paula Badosa,27.5,1942.9,,12,1897.6,11,1842.8,17,1760.1,,2078.1,2022-01,,10,0.1,Badosa P.
12,Amanda Anisimova,23.7,1935.3,,13,1895.8,21,1804.8,16,1760.3,,2013.4,2022-08,,13,-0.08,Anisimova A.
13,Elise Mertens,29.5,1933.3,,15,1870.4,13,1840.2,14,1769.1,,2042.7,2021-04,,24,-0.61,Mertens E.
14,Karolina Muchova,28.7,1930.2,,11,1913.6,26,1788.4,27,1723.1,,2029.1,2023-08,,15,-0.07,Muchova K.
15,Ekaterina Alexandrova,30.5,1928.3,,17,1853.3,14,1828.9,9,1807.7,,1977.2,2020-02,,18,-0.18,Alexandrova E.
16,Belinda Bencic,28.1,1916.7,,14,1881.8,40,1755.4,33,1708.3,,2100.0,2015-09,,35,-0.78,Bencic B.
17,Emma Raducanu,22.5,1913.3,,20,1850.3,23,1800.5,19,1745.0,,1998.0,2021-08,,36,-0.75,Raducanu E.
18,Marta Kostyuk,22.9,1908.6,,16,1858.9,18,1822.7,35,1701.7,,1986.1,2024-04,,26,-0.37,Kostyuk M.
19,Jelena Ostapenko,27.9,1900.0,,25,1827.6,12,1841.8,7,1814.7,,2029.5,2017-10,,19,0.0,Ostapenko J.
20,Diana Shnaider,21.1,1895.5,,27,1822.2,19,1822.4,12,1788.3,,1976.1,2024-08,,12,0.51,Shnaider D.
21,Peyton Stearns,23.6,1889.9,,38,1800.2,17,1824.4,82,1597.6,,1925.1,2025-05,,34,-0.48,Stearns P.
22,Sofia Kenin,26.5,1882.6,,31,1814.9,28,1788.1,38,1696.6,,2057.0,2020-02,,29,-0.28,Kenin S.
23,Olga Danilovic,24.3,1880.0,,48,1764.7,15,1826.5,57,1648.0,,1883.7,2025-05,,37,-0.48,Danilovic O.
24,Danielle Collins,31.4,1878.5,,34,1808.6,16,1825.8,44,1679.0,,2061.1,2024-05,,53,-0.79,Collins D.
25,Naomi Osaka,27.6,1875.6,,24,1827.8,32,1775.0,43,1679.6,,2193.3,2021-03,,57,-0.82,Osaka N.
26,Clara Tauson,22.4,1874.3,,19,1850.5,37,1765.7,94,1584.7,,1934.9,2022-01,,23,0.12,Tauson C.
27,Victoria Azarenka,35.8,1873.3,,21,1836.4,34,1768.3,29,1720.1,,2312.3,2013-03,,76,-1.03,Azarenka V.
28,Emma Navarro,24.0,1872.9,,18,1850.9,30,1779.0,18,1756.2,,2002.7,2024-08,,9,1.13,Navarro E.
29,Liudmila Samsonova,26.5,1872.5,,28,1820.6,25,1792.6,25,1731.7,,1984.3,2023-10,,20,0.37,Samsonova L.
30,Daria Kasatkina,28.0,1870.5,,29,1820.4,22,1801.5,13,1771.4,,2036.5,2018-03,,16,0.63,Kasatkina D.
31,Anastasia Potapova,24.1,1868.8,,33,1809.7,20,1810.0,46,1674.5,,1920.5,2023-06,,41,-0.28,Potapova A.
32,Ashlyn Krueger,21.0,1860.8,,23,1829.0,63,1716.5,41,1686.7,,1896.7,2025-02,,33,-0.03,Krueger A.
33,Katie Boulter,28.8,1853.8,,32,1812.7,52,1731.8,15,1763.3,,1894.3,2024-03,,39,-0.17,Boulter K.
34,Anna Kalinskaya,26.4,1853.2,,37,1800.3,51,1733.9,20,1743.7,,1948.6,2024-04,,28,0.19,Kalinskaya A.
35,Marketa Vondrousova,25.9,1845.2,,42,1783.0,39,1757.1,48,1672.6,,2062.5,2023-08,,164,-1.54,Vondrousova M.
36,Caroline Wozniacki,34.1,1844.9,,35,1805.1,56,1727.8,23,1737.0,,2255.1,2011-04,,136,-1.33,Wozniacki C.
37,Anastasia Pavlyuchenkova,33.8,1843.7,,30,1820.1,46,1745.6,61,1644.6,,2058.1,2011-05,,54,-0.38,Pavlyuchenkova A.
38,Linda Noskova,20.5,1842.0,,22,1832.7,66,1708.6,69,1624.5,,1946.1,2025-02,,32,0.17,Noskova L.
39,Veronika Kudermetova,28.1,1840.4,,43,1781.1,36,1766.7,24,1736.3,,1981.1,2023-05,,40,-0.03,Kudermetova V.
40,Lois Boisson,22.0,1839.4,,168,1563.3,24,1795.1,85,1594.7,,1846.4,2025-05,,67,-0.52,Boisson L.
41,Yulia Putintseva,30.4,1839.2,,41,1787.8,33,1768.7,30,1717.8,,1933.4,2025-01,,27,0.42,Putintseva Y.
42,Ons Jabeur,30.7,1837.8,,40,1790.9,41,1754.8,22,1739.6,,2110.5,2022-06,,61,-0.37,Jabeur O.
43,Tereza Valentova,18.2,1837.2,,44,1778.5,29,1782.7,86,1593.6,,1837.2,2025-06,,120,-1.03,Valentova T.
44,Maria Sakkari,29.8,1836.6,,36,1804.1,27,1788.3,51,1662.2,,2067.5,2022-03,,86,-0.67,Sakkari M.
45,Magda Linette,33.3,1834.3,,45,1776.8,35,1767.3,62,1644.5,,1866.6,2023-02,,31,0.37,Linette M.
46,Victoria Mboko,18.7,1827.7,,56,1742.4,50,1740.5,90,1588.9,,1827.7,2025-05,,95,-0.73,Mboko V.
47,Elena Gabriela Ruse,27.5,1818.0,,51,1753.9,54,1728.1,31,1716.1,,1845.7,2022-02,,58,-0.21,Ruse E.
48,Donna Vekic,28.9,1817.3,,49,1764.3,43,1746.6,26,1726.1,,1947.0,2019-08,,22,0.78,Vekic D.
49,Marie Bouzkova,26.8,1815.0,,47,1769.0,42,1748.8,53,1658.9,,1958.3,2022-10,,45,0.09,Bouzkova M.
50,Jaqueline Cristian,26.9,1812.8,,55,1747.4,47,1745.6,144,1511.6,,1816.5,2025-05,,51,-0.02,Cristian J.
51,Mccartney Kessler,25.9,1811.5,,26,1826.1,121,1599.6,70,1622.2,,1933.3,2025-03,,42,0.19,Kessler M.
52,Sorana Cirstea,35.0,1810.7,,39,1792.5,67,1706.5,68,1628.9,,1928.2,2009-08,,168,-1.17,Cirstea S.
53,Dayana Yastremska,25.0,1800.2,,53,1751.9,55,1728.1,63,1642.9,,1978.4,2019-02,,46,0.14,Yastremska D.
54,Maya Joint,19.1,1795.7,,61,1727.8,44,1746.5,99,1576.9,,1817.8,2025-05,,52,0.04,Joint M.
55,Iva Jovic,17.5,1795.0,,97,1658.6,79,1680.2,28,1720.6,,1795.0,2025-06,,89,-0.48,Jovic I.
56,Bianca Andreescu,24.9,1793.7,,52,1753.6,69,1699.5,49,1671.4,,2157.5,2019-09,,148,-0.97,Andreescu B.
57,Hailey Baptiste,23.5,1793.6,,65,1724.1,62,1718.5,102,1574.3,,1799.0,2025-05,,56,0.02,Baptiste H.
58,Sara Bejlek,19.3,1792.9,,103,1651.5,31,1777.2,149,1507.0,,1792.9,2025-06,,117,-0.7,Bejlek S.
59,Caroline Garcia,31.6,1788.4,,50,1753.9,48,1742.5,34,1707.6,,2044.8,2017-10,,165,-1.03,Garcia C.
60,Kaja Juvan,24.5,1787.4,,81,1690.8,45,1746.3,39,1694.2,,1825.6,2022-05,,239,-1.38,Juvan K.
61,Beatriz Haddad Maia,29.0,1783.5,,64,1726.2,49,1740.8,36,1699.5,,1945.0,2022-08,,21,1.07,Maia B.
62,Camila Osorio,23.4,1778.5,,62,1726.8,58,1724.1,55,1648.8,,1852.0,2023-06,,55,0.12,Osorio C.
63,Leylah Fernandez,22.7,1777.7,,46,1770.9,86,1661.7,47,1674.1,,1977.3,2022-03,,30,0.74,Fernandez L.
64,Katerina Siniakova,29.0,1774.5,,54,1751.2,80,1679.7,40,1688.4,,1950.5,2017-01,,74,-0.15,Siniakova K.
65,Jessica Bouzas Maneiro,22.6,1772.6,,92,1667.6,60,1722.7,66,1630.0,,1797.8,2024-04,,60,0.08,Maneiro J.
66,Sonay Kartal,23.6,1771.9,,63,1726.4,159,1551.3,52,1661.2,,1828.1,2024-10,,50,0.28,Kartal S.
67,Rebecca Sramkova,28.6,1771.2,,57,1733.1,85,1664.6,96,1580.8,,1821.7,2024-11,,38,0.57,Sramkova R.
68,Barbora Krejcikova,29.4,1767.3,,59,1730.8,96,1634.9,42,1680.1,,2054.4,2021-08,,17,1.39,Krejcikova B.
69,Eva Lys,23.3,1765.9,,70,1712.7,71,1695.9,83,1596.2,,1799.5,2025-03,,62,0.11,Lys E.
70,Magdalena Frech,27.4,1765.8,,67,1719.3,72,1694.7,73,1613.1,,1846.4,2024-10,,25,1.03,Frech M.
71,Moyuka Uchijima,23.7,1765.7,,78,1696.9,65,1711.8,122,1537.1,,1822.8,2025-04,,73,-0.03,Uchijima M.
72,Anca Alexia Todoni,20.6,1765.0,,124,1614.9,38,1759.0,64,1637.2,,1785.1,2025-01,,90,-0.22,Todoni A.
73,Rebeka Masarova,25.8,1761.8,,79,1696.4,64,1712.5,72,1615.6,,1817.5,2023-04,,112,-0.43,Masarova R.
74,Ajla Tomljanovic,32.0,1761.5,,71,1706.9,74,1691.6,32,1710.2,,1907.7,2022-08,,66,0.11,Tomljanovic A.
75,Anastasija Sevastova,35.1,1761.3,,74,1701.0,57,1725.4,54,1650.2,,1998.3,2018-10,,398,-1.67,Sevastova A.
76,Greet Minnen,27.8,1759.1,,73,1703.2,104,1619.3,37,1697.1,,1795.8,2020-02,,72,0.05,Minnen G.
77,Elina Avanesyan,22.6,1758.2,,60,1730.3,75,1690.6,67,1629.5,,1835.3,2024-08,,48,0.47,Avanesyan E.
78,Taylor Townsend,29.1,1755.3,,58,1732.1,78,1683.7,126,1527.9,,1840.9,2024-04,,97,-0.22,Townsend T.
79,Suzan Lamens,25.9,1746.9,,77,1697.2,105,1615.4,114,1543.7,,1795.2,2025-04,,70,0.12,Lamens S.
80,Anna Blinkova,26.7,1745.9,,69,1718.4,94,1641.3,65,1632.5,,1830.2,2019-10,,71,0.12,Blinkova A.
81,Ann Li,24.9,1744.7,,88,1670.8,70,1698.3,127,1527.9,,1894.4,2021-03,,65,0.22,Li A.
82,Lesia Tsurenko,35.4,1744.4,,72,1706.8,73,1693.0,50,1667.1,,1916.2,2019-01,,286,-1.25,Tsurenko L.
83,Viktorija Golubic,32.6,1741.7,,68,1718.5,124,1596.6,56,1648.2,,1836.2,2021-07,,80,0.04,Golubic V.
84,Caroline Dolehide,26.7,1741.0,,82,1688.4,88,1660.9,154,1501.9,,1747.7,2025-05,,64,0.27,Dolehide C.
85,Irina Camelia Begu,34.7,1741.0,,86,1672.1,61,1720.8,95,1584.0,,1931.2,2016-05,,119,-0.34,Begu I.
86,Mayar Sherif,29.0,1737.8,,173,1557.7,53,1730.4,111,1551.0,,1863.6,2023-06,,88,-0.02,Sherif M.
87,Xin Yu Wang,23.7,1732.7,,80,1695.7,95,1637.0,60,1645.9,,1834.8,2024-07,,49,0.57,Wang X.
88,Bernarda Pera,30.5,1727.9,,85,1673.3,76,1688.8,74,1611.2,,1843.1,2022-08,,78,0.12,Pera B.
89,Kimberly Birrell,27.1,1727.5,,66,1722.0,188,1514.8,75,1610.5,,1804.5,2025-03,,79,0.12,Birrell K.
90,Sloane Stephens,31.9,1725.2,,96,1659.5,59,1722.8,76,1610.4,,2028.2,2017-08,,404,-1.5,Stephens S.
91,Varvara Gracheva,24.8,1724.5,,95,1661.6,89,1657.8,107,1562.3,,1819.8,2019-10,,111,-0.2,Gracheva V.
92,Lucia Bronzetti,26.4,1717.4,,76,1697.7,106,1614.7,109,1555.3,,1777.9,2025-03,,59,0.44,Bronzetti L.
93,Anna Bondar,28.0,1717.1,,133,1604.6,68,1706.5,187,1476.1,,1786.6,2022-05,,69,0.3,Bondar A.
94,Yafan Wang,30.7,1716.1,,75,1698.3,163,1544.9,113,1546.2,,1853.2,2019-03,,125,-0.29,Wang Y.
95,Anhelina Kalinina,28.3,1715.7,,84,1674.8,77,1687.7,88,1591.1,,1890.8,2022-06,,101,-0.06,Kalinina A.
96,Katie Volynets,23.4,1710.4,,98,1657.0,83,1668.8,97,1577.6,,1828.5,2024-06,,96,0.0,Volynets K.
97,Elisabetta Cocciaretto,24.3,1709.6,,104,1651.0,90,1656.1,59,1646.9,,1853.5,2023-07,,105,-0.08,Cocciaretto E.
98,Aliaksandra Sasnovich,31.2,1706.6,,94,1664.5,91,1651.8,89,1590.4,,1944.3,2019-01,,108,-0.1,Sasnovich A.
99,Francesca Jones,24.7,1706.5,,118,1625.6,81,1674.1,195,1466.2,,1745.9,2025-05,,132,-0.29,Jones F.
100,Yue Yuan,26.7,1705.3,,89,1670.6,117,1602.8,93,1585.0,,1869.7,2024-04,,84,0.17,Yuan Y.
101,Clara Burel,23.9,1701.7,,91,1667.9,82,1673.3,136,1522.4,,1845.7,2024-01,,198,-0.67,Burel C.
102,Caty Mcnally,23.5,1696.1,,131,1609.2,84,1665.5,91,1588.8,,1805.5,2019-07,,211,-0.73,Mcnally C.
103,Laura Siegemund,37.2,1692.1,,90,1669.1,97,1633.0,100,1576.5,,1917.6,2016-08,,106,-0.03,Siegemund L.
104,Sara Sorribes Tormo,28.5,1687.7,,106,1648.7,93,1649.7,112,1548.9,,1900.8,2021-08,,133,-0.25,Tormo S.
105,Antonia Ruzic,22.3,1685.6,,83,1688.1,156,1553.1,120,1537.9,,1785.8,2025-03,,98,0.07,Ruzic A.
106,Robin Montgomery,20.7,1683.6,,123,1621.8,116,1604.6,58,1647.9,,1779.9,2024-07,,114,-0.07,Montgomery R.
107,Dalma Galfi,26.8,1681.9,,181,1551.3,87,1661.3,71,1622.1,,1714.7,2022-07,,115,-0.07,Galfi D.
108,Tatjana Maria,37.8,1681.8,,113,1631.5,150,1562.7,45,1677.8,,1804.5,2009-08,,43,0.92,Maria T.
109,Ana Bogdan,32.5,1681.1,,101,1654.7,99,1630.4,77,1608.2,,1826.3,2023-07,,247,-0.82,Bogdan A.
110,Shuai Zhang,36.3,1680.5,,93,1664.9,139,1572.3,81,1599.4,,1873.3,2018-01,,126,-0.14,Zhang S.
111,Viktoriya Tomova,30.2,1675.2,,110,1642.5,111,1608.0,110,1551.4,,1752.1,2024-06,,83,0.29,Tomova V.
112,Daria Saville,31.2,1673.4,,111,1641.5,123,1598.9,116,1541.4,,1971.3,2017-01,,138,-0.21,Saville D.
113,Diane Parry,22.7,1672.2,,120,1623.7,108,1612.1,84,1595.6,,1763.9,2024-03,,116,-0.03,Parry D.
114,Alexandra Eala,20.0,1671.0,,100,1655.1,201,1501.4,105,1568.3,,1721.0,2025-04,,77,0.39,Eala A.
115,Simona Waltert,24.4,1670.3,,115,1628.5,101,1628.9,155,1501.8,,1706.0,2025-05,,128,-0.11,Waltert S.
116,Polina Kudermetova,22.0,1667.8,,99,1655.3,131,1586.2,125,1529.9,,1770.3,2024-12,,63,0.61,Kudermetova P.
117,Zeynep Sonmez,23.1,1667.3,,102,1652.2,134,1579.9,101,1576.1,,1769.8,2024-12,,82,0.36,Sonmez Z.
118,Oksana Selekhmeteva,22.4,1666.7,,134,1604.4,98,1632.9,146,1508.3,,1718.0,2024-07,,145,-0.21,Selekhmeteva O.
